osm_id,name,lat,lon,region,federal_district,cluster,cluster_name,dist_to_region_center_km,dist_to_moscow_km,federal_district_code,gps_density_5km,grp_per_capita_2021,population_2021,urban_pct
593614055,Вал-Кордонский филиал МКОУ Озерно-Кузнецовская СОШ,51.7802806,80.3637966,Altay,СФО,6,Кластер 7,179.39137674703616,2797.79295271451,7,182,278,2298,58
593902962,Бор-Форпостовская СОШ,51.8736097,80.1150897,Altay,СФО,6,Кластер 7,195.40256108464936,2777.8834994042754,7,17,278,2298,58
594287502,МКОУ Камышетская СОШ,55.1958067,98.7944118,Irkutsk,СФО,3,Кластер 4,484.8150981788653,3728.184668035138,7,18787,607,2375,79
594649927,Снежинская школа,54.4427592,86.370389,Kemerovo,СФО,4,Кластер 5,102.943828583843,3040.6813285710173,7,81646,557,2666,86
594898982,Зимниковская школа,55.6632763,84.9228891,Kemerovo,СФО,4,Кластер 5,80.90927753399686,2905.147027717172,7,27323,557,2666,86
595760204,Средняя Общеобразовательная школа № 11,54.9017498,98.9965988,Irkutsk,СФО,3,Кластер 4,454.36407063999246,3754.522455201293,7,63989,607,2375,79
596342352,Тополинская средняя общеобразовательная школа,51.5103952,84.4834027,Altay,СФО,6,Кластер 7,116.00377619096848,3065.119889928035,7,0,278,2298,58
596985402,Степнинская средняя школа,51.504446,84.6163036,Altay,СФО,6,Кластер 7,124.60859313280824,3073.585743636355,7,0,278,2298,58
597156185,Черно-Ануйская школа,51.3555759,84.7293741,Gorno-Altay,СФО,6,Кластер 7,165.3334840454213,3088.2080271155805,7,0,264,220,28
597340122,Туратинская начальная школа,51.315773,84.7699117,Gorno-Altay,СФО,6,Кластер 7,160.93312770369118,3092.763718128159,7,0,264,220,28
597483922,Каракольская начальная школа,51.2907515,84.5840577,Gorno-Altay,СФО,6,Кластер 7,171.78352902686623,3082.6392158252843,7,0,264,220,28
597584462,Тележинская основная общеобразовательная школа,51.5292764,84.2809604,Altay,СФО,6,Кластер 7,102.57070043905208,3051.7190793824875,7,0,278,2298,58
598161455,Рыбинская начальная школа,51.3821153,84.4099599,Altay,СФО,6,Кластер 7,118.61839415854932,3067.20559063901,7,0,278,2298,58
599011253,Черемшанская начальная школа,51.7535411,84.2966085,Altay,СФО,6,Кластер 7,94.47617318595282,3041.287479435978,7,0,278,2298,58
599565626,Катандинская школа,50.1684195,86.1772614,Gorno-Altay,СФО,6,Кластер 7,76.83678456118558,3241.14380188257,7,0,264,220,28
599670018,Сибирячихинская средняя общеобразовательная школа,51.7505098,84.0495937,Altay,СФО,6,Кластер 7,78.21191400457175,3026.2851574004503,7,0,278,2298,58
